friends_count,repostNum,followers_count,weiboID
272,38,21395,4008450528158542
370,1,25719,3777608090671947
455,165,9109205,4009793003339942
47,0,398,3578257004126302
630,1,126926,3842079090780123
774,160,23753347,4009937497746629
292,1284,648080,3908758507559494
348,0,1474352,3646459528060375
589,0,8597,3722804723330583
613,2,12088,3842725395271475
720,4,2004794,4009824042201481
960,1,384818,4010123019473764
754,177,6021073,4010246785182800
455,56,9109237,4009144903711045
530,0,459102,4008789935829350
2030,397,5193614,4010100823563189
236,4,4471,3599264955871671
895,1,72846,4009510173190042
356,5,56789,3708335490114242
1856,0,4958,3912422072681541
354,3,69931,3979049019886000
406,0,15922,4005155437874908
1158,1596,26081769,4007333778058320
186,0,116465,4010283431146886
603,0,16185,3963469008682188
563,3,126303,4009381647385052
369,2,238719,4001500239593971
146,1,2127,3710167383053618
1138,2,3060250,3993128350589774
186,5,116465,4009808455695204
295,0,138539,4009141502098986
63,602,900551,3804752557153483
843,0,8577,3832272430324107
280,1,927,3862240010920420
70,0,7717,4009853459968398
5000,310,33077463,4009783759310338
1275,1,167082,4007725169779042
